Player,Innings Bowled In,Balls Bowled,Runs Conceded,Wickets Taken,Bowling Avg,Economy Rate,Bowling Strike Rate,Ratings
MA Wood,35,1789,1649,34,48.5,5.53,52.6,509.9238163780664
D Bishoo,37,1878,1498,37,40.48,4.78,50.7,509.48275577200576
PKD Chase,24,12372,1356,34,39.88,6.57,36.4,507.86358838383853
AR McBrine,32,1605,1212,33,36.72,4.52,48.6,504.6373986291486
CR Brathwaite,27,1284,1163,26,44.73,5.43,49.3,480.20002849927846
Mujeeb Ur Rahman,23,1308,839,44,19.06,3.84,29.7,418.9434895104894
BV Vitori,24,1191,1149,32,35.9,5.77,37.2,410.8605284992784
NM Coulter-Nile,22,1130,1011,38,26.6,5.36,29.7,394.92273088023086
LH Ferguson,21,1052,994,38,26.15,5.66,27.6,394.92273088023086
F Behardien,35,7464,719,14,51.35,5.76,53.4,393.7226475468975
Aftab Alam,20,9378,772,27,28.59,4.93,34.7,365.8920522810523
Rashid Khan,28,1414,923,20,46.15,3.91,70.7,365.79891017316027
L Ngidi,13,6444,599,26,23.03,5.56,24.8,364.3257716172716
D Pretorius,14,6852,554,22,25.18,4.84,31.1,363.884711011211
PWH de Silva,9,2586,296,9,32.88,6.85,28.7,360.69133979908975
PADLR Sandakan,18,8412,913,17,53.7,6.5,49.5,360.5831778499279
JT Ball,18,947,980,21,46.66,6.2,45.0,355.12318001443003
Rahmat Shah,19,4032,400,12,33.33,5.94,33.6,353.70743503718506
WP Masakadza,16,8586,734,21,34.95,5.12,40.9,348.1075966533467
SPD Smith,36,1046,931,27,34.48,5.34,38.7,347.3494895382395
CBRLS Kumara,8,3084,396,8,49.5,7.66,38.7,341.6230162337663
KA Maharaj,4,1866,166,6,27.66,5.32,31.1,334.49057320457325
MA Aponso,9,4218,377,10,37.7,5.34,42.3,333.77117784992794
DT Tiripano,22,9012,885,20,44.25,5.88,45.1,332.90968578643583
Sharafuddin Ashraf,14,5952,414,12,34.5,4.16,49.6,326.23490112665115
PVD Chameera,23,8946,796,19,41.89,5.33,47.1,326.1530191197691
SF Mire,16,4158,433,7,61.85,6.23,59.5,323.9740111832612
T Shamsi,11,5718,488,13,37.53,5.1,44.0,322.91128391053394
Mosaddek Hossain,22,5412,454,11,41.27,5.02,49.2,322.91128391053394
Sabbir Rahman,17,2112,244,3,81.33,6.9,70.6,316.5840111832612
Asghar Afghan,7,1386,91,3,30.33,3.92,46.3,307.0180392940393
V Kohli,48,641,665,4,166.25,6.22,160.2,293.8617586580087
RG Sharma,38,593,515,8,64.37,5.21,74.1,284.84188852813855
KM Jadhav,26,803,651,22,29.59,4.86,36.5,283.1965728715729
MN Waller,30,666,566,10,56.6,5.09,66.6,278.0852218614719
DAS Gunaratne,25,834,723,22,32.86,5.2,37.9,254.0223632756133
TM Head,26,765,737,12,61.41,5.78,63.7,249.42416125541126
SC Williams,1,24,30,1,30.0,7.5,24.0,235.0891111111112
AK Markram,3,48,56,2,28.0,7.0,24.0,235.0719754689755
LA Dawson,2,84,96,3,32.0,6.85,28.0,235.06384054834055
OC McCoy,2,84,109,4,27.25,7.78,21.0,235.06384054834055
AB de Villiers,8,180,180,7,25.71,6.0,25.7,235.06134054834055
TK Curran,11,496,515,18,28.61,6.22,27.5,235.06134054834055
KW Richardson,18,935,854,27,31.62,5.48,34.6,235.06134054834055
MDK Perera,10,456,409,13,31.46,5.38,35.0,235.06134054834055
CL White,19,331,351,12,29.25,6.36,27.5,235.06134054834055
MD Shanaka,10,216,219,7,31.28,6.08,30.8,235.06134054834055
Mominul Haque,12,234,190,7,27.14,4.87,33.4,234.62027994227992
MJ Guptill,11,109,98,4,24.5,5.39,27.2,234.61134054834056
TD Astle,5,168,150,7,21.42,5.35,24.0,234.61134054834056
Shaheen Shah Afridi,6,281,229,13,17.61,4.88,21.6,234.17027994227993
MS Dhoni,2,36,31,1,31.0,5.16,36.0,234.11416161616165
Abu Hider,2,108,89,3,29.66,4.94,36.0,234.10361327561327
KK Ahmed,6,312,264,11,24.0,5.07,28.3,233.5486132756133
KOK Williams,7,330,293,9,32.55,5.32,36.6,231.07690873015872
AJ Tye,7,387,392,12,32.66,6.07,32.2,230.97690873015873
Sunzamul Islam,3,150,79,5,15.8,3.16,30.0,229.8249227994228
WB Rankin,6,319,241,10,24.1,4.53,31.9,229.8199227994228
Usman Shinwari,9,354,275,18,15.27,4.66,19.6,229.8199227994228
