Player,Matches Played,Innings Batted,Not Outs,Runs,Highest Score,Batting Avg,Balls Faced,Strike Rate,Centuries,Half Centuries,Ducks,Rating
NM Lyon,15,8,5,50,30,16.66,59,84.74,0,0,1,0
IS Sodhi,28,10,2,50,24,6.25,71,70.42,0,0,3,0
CB Mpofu,80,39,19,46,6,2.3,198,23.23,0,0,7,0
KW Richardson,18,8,3,45,19,9,53,84.9,0,0,2,0
LH Ferguson,21,10,5,44,19,8.8,94,46.8,0,0,2,0
MA Wood,35,11,6,44,13,8.8,48,91.66,0,0,1,0
RR Pant,3,2,0,41,24,20.5,31,132.25,0,0,0,0
PS Masvaure,2,2,0,40,39,20,60,66.66,0,0,0,0
Mujeeb Ur Rahman,23,10,4,40,15,6.66,41,97.56,0,0,3,0
JT Ball,18,6,2,38,28,9.5,49,77.55,0,0,2,0
TS Kamunhukamwe,2,2,0,37,34,18.5,49,75.51,0,0,0,0
JR Hazlewood,44,13,11,37,11,18.5,57,64.91,0,0,1,0
PKD Chase,25,16,6,35,14,3.5,56,62.5,0,0,7,0
L Ngidi,13,6,5,34,19,34,44,77.27,0,0,0,0
TL Seifert,3,2,0,33,22,16.5,27,122.22,0,0,0,0
C Jonker,2,2,0,31,25,15.5,33,93.93,0,0,0,0
PADLR Sandakan,19,10,4,28,6,4.66,77,36.36,0,0,1,0
Rumman Raees,9,4,1,27,16,9,24,112.5,0,0,1,0
N Pradeep,34,15,10,27,7,5.4,63,42.85,0,0,2,0
KA Maharaj,4,2,0,25,17,12.5,26,96.15,0,0,0,0
FA Allen,4,4,0,25,10,6.25,52,48.07,0,0,0,0
SN Thakur,5,2,1,22,22,22,16,137.5,0,0,1,0
JA Richardson,4,3,1,21,14,10.5,34,61.76,0,0,0,0
Najmul Hossain Shanto,3,3,0,20,7,6.66,45,44.44,0,0,0,0
Sunzamul Islam,3,1,0,19,19,19,24,79.16,0,0,0,0
KOK Williams,8,5,4,19,16,19,27,70.37,0,0,0,0
SM Curran,2,2,0,17,15,8.5,29,58.62,0,0,0,0
CBRLS Kumara,8,5,3,16,7,8,37,43.24,0,0,0,0
YS Chahal,34,4,1,16,12,5.33,28,57.14,0,0,0,0
B Muzarabani,18,15,7,16,7,2,89,17.97,0,0,5,0
Hazratullah Zazai,2,2,0,15,14,7.5,11,136.36,0,0,0,0
Shaheen Shah Afridi,6,2,1,14,14,14,22,63.63,0,0,1,0
SS Cottrell,6,4,2,14,8,7,24,58.33,0,0,0,0
LA Dawson,3,2,0,14,10,7,17,82.35,0,0,0,0
R Ngarava,9,6,1,14,10,2.8,30,46.66,0,0,2,0
DL Chahar,1,1,0,12,12,12,14,85.71,0,0,0,0
NGRP Jayasuriya,2,2,1,11,11,11,13,84.61,0,0,1,0
Abul Hasan,7,3,0,11,7,3.66,16,68.75,0,0,0,0
JJ Bumrah,44,6,2,11,10,2.75,34,32.35,0,0,3,0
MA Aponso,9,7,4,10,4,3.33,45,22.22,0,0,1,0
MS Chapman,3,3,0,9,8,3,23,39.13,0,0,1,0
OP Stone,4,1,1,9,9,0,7,128.57,0,0,0,0
CJ Dala,2,2,1,8,5,8,6,133.33,0,0,0,0
MG Neser,2,2,0,8,6,4,16,50,0,0,0,0
Nazmul Islam,5,1,0,7,7,7,13,53.84,0,0,0,0
DSK Madushanka,1,1,0,7,7,7,6,116.66,0,0,0,0
KK Ahmed,6,2,1,4,3,4,12,33.33,0,0,0,0
LN Roche,3,2,0,4,4,2,10,40,0,0,1,0
B Stanlake,6,4,2,4,2,2,26,15.38,0,0,0,0
Abu Hider,2,1,0,1,1,1,11,9.09,0,0,0,0
S Kaul,3,2,0,1,1,0.5,3,33.33,0,0,1,0
C Overton,1,0,0,0,0,0,0,0,0,0,0,0
Usman Shinwari,9,1,0,0,0,0,1,0,0,0,1,0
T Shamsi,11,3,2,0,0,0,2,0,0,0,1,1
Fazle Mahmud,2,2,0,0,0,0,9,0,0,0,2,1
OC McCoy,2,1,1,0,0,0,1,0,0,0,0,1
O Thomas,4,2,1,0,0,0,4,0,0,0,1,1
CAK Rajitha,3,0,0,0,0,0,0,0,0,0,0,1
Ariful Haque,1,0,0,0,0,0,0,0,0,0,0,1
